id_case,POST_vote,POST_president,PRE_present_religion,PRE_age,PRE_education,PRE_race,PRE_sex,PRE_occupation
204192,1,2,5,45,4,1,2,1
204208,1,2,1,51,4,1,2,7
204222,1,1,12,68,4,1,2,5
204246,2,-1,2,22,4,1,1,1
204253,1,2,1,40,4,1,2,7
204260,1,1,1,63,3,1,2,1
204277,1,1,11,59,5,1,2,4
204284,1,1,12,53,2,3,2,1
204291,1,1,12,80,2,1,1,5
204307,1,2,2,67,3,1,2,1
204321,-6,-6,2,35,4,1,1,1
204338,1,1,10,69,3,1,1,5
204345,1,1,1,80,4,1,2,5
204352,-1,-1,1,62,3,1,1,1
204369,-1,-1,11,38,2,1,2,1
204376,1,2,11,71,3,1,2,5
204383,1,2,1,80,3,1,1,5
204390,1,1,5,61,4,1,2,7
204413,1,2,1,65,4,1,1,1
204420,-1,-1,12,30,3,1,1,1
204437,1,3,11,38,5,6,2,7
204468,-6,-6,2,80,1,1,2,5
204475,1,1,9,80,4,1,1,5
204482,-1,-1,2,-9,3,1,2,5
204505,1,2,1,65,3,1,2,5
204512,1,1,10,48,4,1,1,2
204529,1,1,9,38,5,1,2,1
204536,1,1,9,-9,5,1,1,1
204543,1,1,1,67,5,1,2,5
204550,1,1,2,80,3,2,2,5
204567,-1,-1,10,33,3,1,2,1
204574,1,2,1,76,2,1,2,5
204581,-6,-6,11,43,3,2,2,1
204598,1,1,3,32,5,2,2,1
204604,-1,-1,2,41,3,1,2,1
204611,1,2,2,80,2,1,1,5
204628,1,1,11,45,5,2,2,1
204642,1,1,10,56,5,1,2,1
204697,1,2,-9,68,2,1,1,5
204703,1,1,9,73,4,1,1,5
204710,1,1,1,69,4,1,2,5
204727,1,1,10,73,2,1,2,5
204734,1,2,10,43,4,1,1,1
204741,-1,-1,11,48,1,3,1,7
204758,1,2,2,62,3,5,2,6
204765,1,1,11,41,4,1,1,1
204772,-1,-1,3,20,2,3,1,1
204789,1,2,1,63,4,1,2,5
204796,1,1,2,34,5,1,2,1
204802,-6,-6,12,80,2,4,2,5
204819,1,2,1,76,4,1,1,5
204833,1,2,1,44,5,1,1,1
204840,-6,-6,11,51,4,6,2,1
204857,1,1,2,69,3,1,2,1
204864,1,2,1,27,3,1,1,1
204871,-1,-1,1,48,3,1,2,1
204888,1,1,12,74,3,1,2,5
